['81', '862', '540', '652', '174', '389', '665', '479', '198', '856', '886', '267', '291', '585', '182', '448', '655', '149', '787', '903', '231', '896', '233', '509', '194', '740', '87', '439', '235', '428', '476', '733', '926', '825', '434', '781', '681', '405', '89', '597', '611', '893', '57', '958', '543', '986', '129', '0', '672', '992']
['546', '304', '797', '467', '281', '771', '385', '196', '314', '912', '820', '801', '758', '452', '422', '639', '327', '400', '632', '537', '438', '90', '673', '96', '846', '866', '661', '446', '847', '271', '798', '123', '749', '752', '154', '821', '574', '399', '292', '475', '563', '444', '909', '593', '620', '695', '159', '54', '720', '141']
['532', '980', '195', '697', '163', '192', '504', '804', '608', '576', '352', '918', '947', '440', '65', '490', '421', '561', '968', '132', '19', '732', '382', '650', '560', '529', '842', '185', '603', '621', '99', '594', '23', '891', '1', '261', '494', '353', '139', '456', '598', '675', '350', '287', '511', '612', '944', '857', '832', '931']
['351', '252', '868', '911', '827', '117', '834', '402', '188', '379', '33', '756', '264', '861', '930', '635', '987', '618', '270', '895', '122', '768', '737', '22', '12', '638', '312', '566', '586', '914', '431', '932', '457', '164', '607', '715', '666', '345', '776', '554', '601', '359', '667', '21', '829', '582', '575', '721', '863', '973']
['686', '645', '679', '244', '190', '181', '11', '60', '172', '372', '113', '793', '349', '589', '879', '169', '910', '236', '990', '878', '906', '105', '248', '664', '470', '826', '180', '437', '860', '344', '110', '724', '819', '396', '309', '234', '888', '393', '551', '690', '687', '963', '255', '714', '450', '435', '654', '160', '481', '485']
['974', '799', '839', '510', '453', '376', '254', '848', '187', '10', '417', '761', '685', '936', '884', '411', '120', '901', '486', '977', '436', '4', '519', '599', '341', '266', '792', '158', '274', '460', '803', '923', '730', '915', '338', '332', '73', '325', '449', '429', '604', '953', '556', '617', '442', '323', '136', '530', '489', '178']
['454', '288', '406', '502', '739', '433', '424', '710', '515', '480', '525', '3', '71', '775', '493', '668', '549', '741', '683', '719', '717', '121', '365', '432', '27', '702', '263', '124', '892', '420', '762', '786', '600', '843', '213', '905', '983', '256', '472', '363', '466', '658', '356', '238', '512', '824', '692', '833', '285', '317']
['651', '889', '610', '602', '669', '82', '622', '872', '135', '989', '885', '807', '337', '268', '394', '223', '205', '98', '483', '357', '58', '809', '47', '838', '24', '253', '286', '778', '616', '507', '316', '688', '957', '210', '731', '630', '572', '119', '837', '152', '723', '524', '48', '709', '300', '840', '239', '477', '624', '370']
['339', '308', '128', '649', '917', '179', '894', '241', '331', '133', '204', '101', '9', '125', '845', '333', '729', '746', '748', '908', '482', '629', '858', '44', '942', '542', '53', '522', '34', '713', '75', '656', '718', '183', '104', '18', '791', '373', '691', '578', '313', '36', '996', '216', '961', '924', '500', '391', '948', '881']
['701', '278', '74', '202', '962', '14', '541', '326', '106', '107', '959', '397', '802', '642', '623', '689', '677', '796', '830', '955', '468', '362', '518', '375', '355', '711', '176', '928', '933', '627', '232', '531', '175', '251', '95', '226', '283', '103', '789', '369', '800', '137', '626', '579', '111', '523', '728', '850', '86', '26']
['919', '877', '595', '780', '927', '387', '49', '904', '557', '218', '354', '619', '6', '368', '165', '754', '920', '142', '412', '360', '823', '343', '766', '921', '290', '674', '759', '587', '328', '258', '952', '418', '822', '277', '224', '144', '416', '131', '197', '495', '41', '882', '539', '127', '237', '795', '960', '964', '92', '487']
['636', '380', '52', '590', '929', '684', '606', '404', '699', '221', '979', '902', '215', '484', '614', '625', '954', '321', '56', '805', '299', '854', '61', '227', '769', '32', '69', '767', '584', '293', '497', '939', '217', '118', '461', '841', '812', '907', '828', '552', '153', '358', '831', '994', '25', '491', '386', '528', '533', '211']
['39', '592', '890', '965', '473', '514', '7', '430', '62', '712', '806', '946', '544', '114', '978', '166', '186', '15', '676', '247', '660', '753', '259', '559', '995', '249', '207', '289', '212', '335', '35', '653', '91', '916', '765', '250', '282', '306', '899', '93', '553', '871', '874', '208', '78', '243', '945', '45', '934', '307']
