[529, 570, 590, 159, 10, 109, 667, 27, 758, 754, 504, 169, 316, 354, 263, 222, 240, 155, 16, 61, 70, 476, 572, 547, 395, 430, 397, 744, 203, 797, 543, 654]
[230, 524, 686, 376, 764, 663, 348, 562, 478, 216, 353, 137, 368, 599, 210, 692, 438, 245, 161, 154, 381, 448, 427, 406, 83, 374, 636, 439, 528, 560, 266, 522]
[79, 678, 278, 705, 454, 142, 623, 213, 272, 700, 250, 177, 46, 384, 418, 253, 424, 196, 98, 391, 4, 367, 6, 681, 135, 167, 380, 452, 532, 207, 398, 785]
[100, 49, 37, 340, 251, 416, 388, 683, 616, 425, 690, 300, 605, 724, 23, 228, 99, 633, 604, 677, 330, 621, 328, 30, 457, 596, 129, 255, 290, 503, 727, 465]
[615, 274, 431, 497, 498, 389, 143, 575, 695, 672, 176, 64, 409, 638, 412, 183, 246, 790, 344, 21, 321, 71, 78, 191, 81, 303, 511, 706, 227, 323, 163, 285]
[386, 517, 80, 488, 722, 345, 713, 536, 708, 202, 538, 407, 601, 710, 322, 122, 308, 2, 551, 198, 152, 307, 209, 165, 363, 89, 610, 218, 766, 515, 221, 166]
[317, 271, 140, 762, 236, 288, 172, 540, 15, 698, 403, 519, 17, 309, 436, 282, 687, 774, 624, 703, 429, 709, 622, 782, 509, 561, 9, 108, 675, 283, 642, 405]
[410, 748, 186, 602, 618, 751, 107, 399, 591, 559, 102, 534, 716, 595, 523, 329, 746, 711, 219, 773, 702, 526, 121, 549, 226, 440, 475, 382, 597, 178, 286, 12]
[85, 533, 0, 151, 693, 65, 45, 665, 358, 273, 8, 235, 223, 352, 741, 434, 379, 505, 385, 789, 569, 589, 247, 38, 628, 611, 550, 539, 656, 563, 489, 573]
[473, 652, 587, 512, 761, 92, 280, 338, 556, 729, 355, 40, 516, 1, 233, 479, 670, 542, 612, 62, 679, 521, 115, 261, 701, 527, 361, 792, 3, 120, 197, 755]
[490, 293, 567, 192, 28, 579, 603, 347, 260, 763, 349, 750, 378, 312, 481, 128, 180, 156, 669, 258, 284, 625, 400, 214, 342, 444, 351, 86, 770, 477, 112, 259]
[585, 292, 747, 552, 787, 451, 420, 544, 408, 277, 609, 305, 359, 726, 643, 783, 501, 212, 97, 768, 442, 158, 257, 796, 507, 531, 148, 314, 77, 35, 147, 187]
[608, 460, 653, 18, 745, 435, 205, 463, 68, 422, 168, 101, 394, 728, 44, 370, 433, 365, 88, 469, 781, 326, 721, 377, 557, 337, 738, 310, 753, 662, 426, 760]
[598, 56, 704, 208, 25, 185, 417, 795, 793, 264, 739, 493, 732, 631, 510, 39, 325, 360, 123, 58, 281, 116, 717, 189, 600, 574, 82, 684, 267, 640, 52, 472]
[262, 132, 130, 134, 229, 664, 432, 113, 173, 682, 541, 784, 157, 645, 553, 757, 145, 182, 593, 799, 588, 332, 5, 772, 206, 327, 91, 568, 181, 204, 485, 634]
[125, 620, 106, 508, 445, 629, 124, 287, 462, 164, 453, 627, 346, 470, 671, 372, 313, 737, 719, 304, 635, 383, 269, 31, 697, 617, 275, 582, 689, 607, 688, 668]
[350, 715, 150, 767, 666, 36, 364, 655, 103, 637, 114, 393, 576, 276, 256, 584, 270, 513, 641, 118, 707, 530, 7, 419, 139, 499, 794, 252, 752, 33, 339, 685]
[639, 500, 571, 96, 411, 237, 59, 566, 660, 735, 437, 495, 415, 74, 215, 483, 335, 714, 731, 320, 699, 110, 170, 413, 428, 776, 486, 651, 404, 749, 613, 32]
[179, 87, 193, 443, 333, 558, 484, 771, 29, 718, 455, 201, 649, 446, 105, 565, 788, 144, 657, 798, 647, 401, 733, 243, 242, 279, 646, 294, 506, 546, 680, 492]
[119, 19, 146, 396, 41, 244, 464, 466, 341, 84, 324, 554, 195, 421, 357, 188, 254, 537, 225, 13, 545, 366, 491, 447, 69, 47, 461, 95, 525, 471, 334, 594]
[76, 564, 24, 67, 297, 674, 456, 48, 171, 174, 619, 343, 583, 234, 577, 311, 723, 162, 778, 648, 160, 26, 740, 441, 318, 51, 224, 241, 296, 54, 712, 90]
[658, 72, 315, 548, 14, 586, 780, 673, 319, 53, 131, 57, 630, 211, 779, 104, 298, 756, 387, 43, 759, 295, 238, 496, 467, 75, 34, 356, 141, 580, 482, 676]
[149, 480, 42, 402, 373, 66, 138, 578, 175, 249, 232, 289, 661, 696, 117, 691, 390, 190, 769, 449, 592, 73, 535, 614, 775, 659, 725, 371, 336, 606, 194, 50]
[644, 268, 694, 514, 127, 126, 423, 55, 375, 742, 736, 200, 414, 22, 487, 765, 136, 217, 93, 650, 555, 153, 474, 11, 520, 239, 632, 502, 220, 60, 199, 468]
[94, 791, 331, 265, 720, 369, 786, 734, 63, 450, 301, 459, 20, 730, 458, 362, 518, 291, 392, 302, 133, 248, 299, 111, 743, 626, 581, 777, 184, 494, 231, 306]
