['45', '185', '310', '231', '358', '319', '303', '98', '57', '178', '332', '456', '350', '211', '462', '125', '182', '6', '457', '367', '442', '432']
['469', '163', '52', '382', '405', '419', '470', '245', '137', '196', '359', '338', '161', '140', '414', '70', '412', '90', '261', '434', '167', '232']
['204', '129', '108', '114', '106', '66', '69', '345', '420', '313', '453', '53', '279', '56', '133', '376', '202', '237', '454', '415', '271', '27']
['268', '360', '14', '253', '124', '326', '110', '242', '37', '443', '366', '107', '149', '9', '395', '426', '281', '468', '449', '251', '17', '18']
['43', '80', '13', '374', '411', '274', '378', '127', '446', '146', '71', '115', '298', '234', '26', '305', '148', '321', '47', '113', '58', '284']
['370', '295', '293', '162', '240', '73', '262', '190', '260', '68', '229', '341', '369', '323', '83', '335', '428', '304', '460', '180', '139', '312']
['475', '448', '422', '399', '64', '418', '353', '256', '213', '236', '32', '339', '156', '329', '421', '15', '31', '330', '186', '142', '112', '39']
['241', '344', '225', '51', '364', '28', '373', '181', '400', '82', '117', '65', '50', '111', '286', '123', '480', '383', '406', '343', '277', '228']
['103', '333', '450', '265', '437', '463', '299', '0', '226', '5', '379', '11', '471', '458', '109', '306', '322', '247', '263', '86', '396', '357']
['452', '220', '101', '199', '192', '387', '134', '394', '292', '121', '165', '85', '336', '391', '97', '79', '351', '200', '94', '408', '16', '126']
['201', '377', '210', '95', '259', '214', '269', '147', '217', '41', '461', '173', '402', '227', '35', '219', '55', '401', '347', '10', '175', '280']
['483', '157', '346', '89', '464', '361', '164', '61', '390', '230', '179', '128', '21', '325', '132', '342', '389', '410', '46', '168', '203', '278']
['36', '78', '63', '197', '356', '365', '445', '381', '403', '223', '131', '249', '136', '264', '116', '413', '135', '246', '409', '328', '141', '444']
['42', '205', '371', '99', '150', '473', '309', '151', '302', '243', '235', '466', '266', '372', '355', '320', '275', '198', '384', '48', '22', '209']
['177', '459', '287', '20', '154', '145', '427', '130', '318', '447', '119', '118', '102', '216', '296', '206', '451', '288', '34', '416', '155', '368']
['404', '19', '429', '482', '331', '476', '77', '88', '425', '267', '289', '44', '273', '438', '282', '138', '407', '224', '478', '49', '218', '255']
['297', '144', '375', '334', '100', '455', '417', '169', '380', '158', '143', '433', '166', '388', '152', '441', '324', '96', '424', '60', '215', '435']
['257', '300', '440', '74', '59', '430', '81', '238', '188', '354', '93', '248', '233', '474', '252', '195', '337', '349', '76', '258', '276', '254']
['92', '272', '392', '24', '212', '340', '314', '481', '183', '301', '191', '62', '171', '75', '38', '30', '239', '436', '3', '159', '170', '174']
['431', '187', '479', '29', '398', '54', '467', '308', '397', '327', '1', '7', '317', '153', '207', '172', '270', '87', '362', '285', '67', '104']
['2', '386', '208', '84', '176', '283', '91', '40', '291', '193', '307', '244', '363', '222', '122', '465', '385', '23', '8', '439', '120', '290']
['294', '184', '72', '33', '315', '472', '221', '477', '311', '250', '12', '189', '25', '160', '316', '348', '423', '393', '105', '4', '352', '194']
