['40', '61', '65', '141', '195']
['41', '63', '193', '227', '242']
['79', '101', '128', '177', '179']
['18', '20', '53', '164', '216']
['8', '48', '62', '104', '120']
['33', '51', '92', '133', '134']
['21', '29', '31', '124', '147']
['52', '132', '222', '225', '226']
['73', '149', '180', '197', '209']
['80', '86', '168', '202', '250']
['6', '37', '43', '100', '136']
['102', '113', '185', '229', '239']
['19', '45', '83', '110', '123']
['46', '76', '118', '241', '247']
['3', '137', '161', '192', '213']
['14', '47', '87', '129', '210']
['67', '117', '158', '163', '181']
['16', '71', '109', '111', '126']
['9', '122', '159', '182', '203']
['72', '78', '107', '116', '206']
['26', '28', '36', '151', '223']
['44', '114', '119', '142', '170']
['207', '212', '238', '244', '245']
['4', '12', '50', '57', '99']
['82', '94', '139', '153', '187']
['15', '190', '214', '230', '243']
['27', '221', '240', '246', '249']
['74', '127', '130', '162', '194']
['77', '125', '160', '166', '237']
['34', '49', '183', '200', '201']
['35', '176', '189', '196', '217']
['75', '108', '135', '144', '145']
['56', '84', '115', '186', '191']
['103', '138', '156', '205', '228']
['24', '121', '143', '165', '167']
['208', '215', '224', '233', '236']
['85', '89', '105', '174', '232']
['2', '38', '68', '106', '204']
['11', '25', '93', '112', '219']
['7', '23', '42', '140', '169']
['5', '54', '55', '70', '173']
['69', '148', '155', '157', '172']
['22', '59', '96', '184', '220']
['1', '10', '175', '178', '199']
['32', '188', '198', '218', '248']
['66', '81', '97', '231', '234']
['17', '39', '58', '64', '88']
['91', '95', '146', '211', '235']
['131', '150', '152', '154', '171']
['13', '30', '60', '90', '98']
