['15', '54', '426', '471', '476']
['28', '90', '127', '286', '485']
['82', '108', '194', '212', '365']
['17', '43', '97', '132', '243']
['152', '182', '202', '384', '400']
['142', '216', '263', '330', '372']
['123', '149', '208', '439', '487']
['107', '248', '270', '355', '427']
['30', '214', '329', '489', '491']
['11', '37', '60', '164', '332']
['144', '253', '321', '429', '431']
['6', '22', '98', '299', '347']
['10', '99', '121', '217', '292']
['95', '136', '236', '370', '422']
['29', '84', '196', '301', '312']
['68', '221', '271', '304', '478']
['67', '368', '382', '412', '438']
['3', '47', '225', '275', '340']
['16', '33', '205', '282', '454']
['88', '244', '254', '276', '348']
['160', '294', '416', '470', '482']
['21', '56', '130', '215', '362']
['111', '161', '235', '319', '480']
['45', '77', '178', '211', '443']
['192', '343', '354', '393', '432']
['25', '369', '407', '435', '474']
['34', '119', '264', '309', '353']
['126', '168', '364', '473', '475']
['175', '179', '283', '308', '396']
['14', '42', '96', '203', '310']
['4', '13', '63', '92', '389']
['172', '220', '359', '388', '481']
['19', '116', '252', '298', '361']
['200', '341', '345', '363', '385']
['1', '112', '417', '424', '455']
['8', '134', '281', '395', '469']
['62', '250', '258', '278', '463']
['117', '163', '174', '232', '287']
['5', '48', '64', '346', '366']
['57', '226', '245', '336', '468']
['32', '50', '53', '279', '402']
['249', '428', '436', '452', '465']
['40', '73', '133', '140', '357']
['184', '239', '307', '331', '415']
['7', '206', '247', '338', '437']
['59', '153', '289', '314', '350']
['27', '44', '46', '303', '315']
['20', '293', '356', '401', '457']
['23', '24', '70', '233', '434']
['49', '120', '137', '141', '466']
['71', '89', '181', '219', '472']
['183', '228', '234', '300', '322']
['114', '118', '188', '377', '390']
['109', '147', '187', '237', '268']
['222', '241', '256', '392', '450']
['165', '251', '358', '423', '483']
['91', '229', '302', '316', '394']
['180', '265', '305', '313', '371']
['135', '156', '290', '479', '498']
['69', '78', '171', '255', '318']
['76', '207', '375', '378', '494']
['52', '259', '296', '311', '406']
['138', '240', '242', '420', '440']
['58', '177', '185', '273', '327']
['31', '103', '326', '397', '496']
['106', '199', '352', '367', '444']
['87', '198', '285', '306', '459']
['230', '295', '323', '381', '383']
['104', '139', '334', '386', '411']
['61', '167', '317', '441', '449']
['83', '176', '191', '351', '425']
['86', '189', '291', '484', '495']
['41', '65', '269', '339', '376']
['186', '195', '272', '277', '328']
['36', '266', '324', '405', '445']
['102', '125', '335', '451', '499']
['2', '101', '155', '227', '280']
['105', '246', '374', '446', '462']
['148', '379', '404', '421', '464']
['39', '66', '131', '157', '486']
['18', '154', '320', '403', '497']
['80', '204', '344', '409', '461']
['128', '143', '193', '267', '325']
['72', '150', '387', '413', '448']
['162', '166', '224', '284', '453']
['0', '173', '209', '418', '492']
['94', '124', '414', '430', '442']
['9', '12', '231', '477', '493']
['79', '145', '151', '433', '490']
['55', '262', '297', '398', '467']
['93', '100', '288', '337', '488']
['74', '190', '260', '261', '447']
['158', '159', '210', '391', '399']
['110', '201', '373', '410', '456']
['35', '115', '129', '197', '408']
['122', '169', '342', '349', '460']
['113', '170', '223', '274', '419']
['51', '146', '218', '257', '458']
['26', '75', '81', '85', '213']
['38', '238', '333', '360', '380']
