['7', '27', '86', '91', '112', '131', '123', '398', '148', '158', '186', '214', '218', '239', '328', '272', '294', '298', '280', '310']
['15', '126', '41', '47', '71', '74', '60', '63', '88', '113', '114', '137', '145', '198', '235', '255', '307', '318', '323', '370']
['35', '37', '45', '59', '72', '62', '108', '115', '125', '283', '194', '195', '224', '244', '245', '262', '300', '316', '368', '371']
['8', '34', '274', '43', '44', '73', '96', '93', '129', '155', '165', '178', '175', '329', '192', '196', '249', '292', '321', '352']
['5', '19', '28', '85', '104', '105', '314', '166', '297', '225', '237', '241', '243', '251', '276', '376', '302', '338', '358', '346']
['6', '33', '56', '107', '127', '157', '168', '205', '219', '258', '259', '347', '270', '271', '273', '289', '286', '313', '335', '354']
['39', '76', '388', '82', '118', '111', '119', '130', '135', '121', '151', '212', '229', '240', '253', '291', '327', '349', '395', '396']
['29', '36', '134', '77', '79', '87', '89', '377', '116', '150', '161', '206', '181', '203', '220', '248', '266', '277', '296', '308']
['9', '16', '31', '66', '293', '83', '92', '152', '153', '171', '172', '176', '303', '197', '355', '344', '200', '208', '209', '217']
['10', '334', '32', '26', '42', '110', '133', '146', '215', '193', '199', '183', '188', '221', '242', '275', '362', '330', '364', '372']
['13', '14', '17', '21', '22', '40', '65', '106', '109', '267', '136', '144', '162', '180', '182', '227', '228', '279', '340', '357']
['3', '20', '49', '117', '139', '140', '141', '147', '167', '336', '232', '236', '315', '359', '366', '386', '392', '393', '380', '381']
['38', '351', '48', '68', '61', '80', '103', '256', '201', '143', '163', '173', '187', '213', '361', '222', '290', '331', '322', '342']
['4', '55', '64', '100', '128', '149', '170', '184', '207', '261', '268', '269', '309', '325', '374', '387', '389', '399', '382', '383']
['12', '18', '52', '138', '122', '142', '159', '179', '190', '223', '348', '204', '216', '230', '246', '265', '288', '304', '326', '367']
['11', '25', '78', '97', '99', '90', '397', '101', '120', '124', '210', '211', '226', '238', '247', '254', '264', '295', '317', '311']
['46', '51', '54', '58', '98', '81', '94', '391', '102', '154', '185', '191', '284', '260', '282', '305', '306', '312', '333', '379']
['23', '24', '30', '57', '69', '70', '75', '132', '156', '337', '231', '234', '278', '299', '301', '339', '353', '365', '384', '394']
['0', '1', '50', '53', '67', '378', '95', '250', '189', '202', '285', '319', '320', '332', '356', '341', '343', '363', '373', '375']
['2', '84', '160', '164', '169', '174', '177', '233', '257', '252', '263', '281', '287', '324', '345', '350', '360', '369', '385', '390']
