['0', '4', '10', '13', '58', '70', '79', '83', '97', '121', '129', '169', '170', '193', '252', '279', '281', '346', '389', '391']
['18', '67', '81', '125', '167', '177', '206', '330', '362', '364', '390', '417', '421', '437', '453', '463', '466', '474', '482', '483']
['46', '64', '116', '134', '157', '249', '258', '280', '311', '313', '341', '353', '371', '373', '394', '407', '442', '460', '470', '480']
['2', '28', '35', '39', '59', '66', '74', '77', '96', '105', '140', '147', '178', '189', '201', '246', '254', '268', '306', '392']
['15', '20', '95', '102', '123', '138', '186', '190', '207', '239', '259', '282', '285', '326', '350', '355', '366', '370', '387', '405']
['36', '60', '65', '69', '76', '86', '101', '139', '168', '183', '192', '265', '267', '296', '348', '416', '418', '425', '426', '427']
['33', '41', '57', '61', '72', '137', '174', '214', '247', '256', '274', '320', '327', '386', '436', '449', '452', '461', '462', '465']
['44', '48', '52', '103', '106', '117', '132', '152', '158', '162', '196', '208', '230', '234', '260', '262', '263', '290', '310', '338']
['22', '53', '78', '135', '145', '161', '179', '191', '284', '286', '297', '298', '308', '328', '357', '359', '393', '396', '398', '415']
['24', '49', '62', '148', '156', '159', '171', '240', '242', '253', '318', '335', '343', '399', '403', '454', '471', '479', '487', '492']
['11', '16', '73', '85', '107', '114', '166', '199', '212', '271', '272', '287', '293', '303', '307', '312', '336', '345', '349', '384']
['8', '25', '34', '126', '136', '146', '153', '195', '203', '222', '225', '294', '334', '354', '360', '368', '369', '406', '438', '448']
['37', '43', '89', '109', '122', '165', '211', '219', '245', '261', '309', '379', '401', '410', '419', '441', '467', '477', '490', '493']
['3', '42', '54', '68', '80', '90', '91', '128', '130', '151', '164', '229', '235', '319', '324', '340', '377', '382', '443', '457']
['5', '21', '40', '112', '115', '175', '182', '200', '202', '204', '241', '270', '273', '299', '316', '321', '329', '358', '375', '383']
['27', '45', '93', '173', '210', '226', '257', '275', '289', '304', '352', '356', '365', '374', '376', '378', '395', '428', '450', '459']
['12', '47', '75', '104', '108', '118', '133', '194', '233', '292', '315', '325', '333', '367', '420', '481', '489', '495', '496', '499']
['6', '26', '31', '32', '98', '100', '111', '124', '141', '217', '221', '232', '251', '264', '388', '400', '422', '429', '446', '488']
['1', '17', '120', '149', '160', '172', '176', '205', '220', '248', '250', '278', '291', '300', '317', '344', '363', '397', '434', '439']
['9', '82', '94', '143', '155', '184', '213', '223', '231', '238', '244', '295', '409', '411', '413', '432', '445', '485', '491', '498']
['29', '51', '55', '56', '71', '110', '185', '188', '216', '218', '228', '301', '302', '314', '404', '412', '444', '447', '455', '473']
['14', '38', '87', '180', '227', '237', '283', '323', '339', '361', '372', '385', '408', '414', '430', '431', '433', '435', '464', '475']
['84', '92', '127', '131', '142', '150', '154', '181', '266', '276', '322', '331', '332', '381', '423', '440', '451', '456', '494', '497']
['7', '19', '23', '50', '99', '113', '144', '197', '209', '215', '224', '255', '269', '347', '402', '458', '469', '476', '478', '484']
['30', '63', '88', '119', '163', '187', '198', '236', '243', '277', '288', '305', '337', '342', '351', '380', '424', '468', '472', '486']
