['0', '9', '13', '16', '17', '51', '62', '93', '124', '130', '131', '175', '207', '219', '245', '302', '312', '319', '331', '342', '346', '356', '358', '363', '367']
['8', '19', '59', '94', '106', '117', '128', '138', '156', '159', '161', '174', '179', '192', '211', '225', '228', '235', '240', '241', '261', '286', '309', '332', '336']
['64', '104', '114', '115', '140', '141', '150', '151', '189', '190', '200', '213', '215', '224', '232', '252', '273', '310', '317', '322', '340', '343', '347', '366', '373']
['20', '45', '48', '96', '100', '111', '134', '171', '173', '188', '197', '237', '244', '254', '256', '259', '267', '298', '311', '325', '351', '386', '388', '394', '399']
['7', '18', '24', '25', '41', '66', '90', '95', '107', '147', '149', '160', '187', '193', '206', '217', '221', '246', '251', '253', '255', '282', '290', '306', '308']
['29', '76', '79', '82', '83', '87', '116', '118', '143', '146', '157', '176', '234', '248', '258', '288', '296', '334', '335', '341', '354', '369', '378', '382', '389']
['57', '68', '72', '105', '109', '119', '125', '133', '162', '164', '182', '184', '185', '201', '212', '223', '272', '294', '303', '313', '314', '338', '352', '361', '362']
['12', '21', '35', '49', '50', '54', '60', '63', '77', '137', '178', '180', '203', '209', '231', '257', '262', '271', '276', '283', '284', '293', '295', '318', '321']
['5', '6', '26', '33', '46', '53', '61', '71', '84', '98', '135', '220', '227', '279', '289', '297', '299', '307', '316', '327', '328', '364', '365', '368', '384']
['31', '38', '40', '44', '47', '56', '73', '85', '86', '88', '91', '101', '108', '136', '148', '152', '154', '168', '181', '183', '204', '243', '249', '250', '277']
['23', '36', '39', '43', '67', '89', '112', '120', '127', '139', '167', '195', '216', '222', '264', '268', '269', '292', '304', '333', '345', '353', '360', '371', '395']
['1', '3', '4', '28', '52', '69', '78', '103', '145', '165', '170', '172', '177', '186', '196', '198', '229', '266', '278', '285', '301', '320', '326', '348', '349']
['34', '55', '65', '70', '81', '121', '122', '158', '194', '210', '218', '239', '270', '280', '281', '291', '337', '350', '380', '381', '385', '390', '396', '397', '398']
['15', '30', '37', '42', '102', '126', '132', '155', '169', '191', '226', '242', '247', '260', '265', '287', '324', '329', '357', '359', '370', '375', '377', '379', '383']
['2', '10', '11', '58', '80', '92', '97', '123', '166', '199', '208', '214', '233', '236', '263', '274', '275', '300', '305', '315', '344', '355', '372', '376', '387']
['14', '22', '27', '32', '74', '75', '99', '110', '113', '129', '142', '144', '153', '163', '202', '205', '230', '238', '323', '330', '339', '374', '391', '392', '393']
