['0', '4', '10', '13', '58', '70', '79', '83', '97', '121']
['18', '67', '81', '125', '167', '177', '206', '222', '232', '245']
['46', '116', '134', '157', '208', '219', '233', '235', '240', '249']
['2', '28', '35', '39', '59', '66', '74', '77', '96', '140']
['15', '20', '95', '102', '123', '138', '186', '190', '202', '207']
['36', '60', '65', '69', '76', '86', '101', '139', '168', '183']
['33', '41', '57', '61', '72', '137', '174', '201', '214', '230']
['44', '48', '52', '103', '106', '117', '132', '147', '152', '158']
['22', '53', '78', '135', '145', '161', '179', '185', '191', '200']
['24', '49', '62', '148', '156', '159', '171', '203', '234', '239']
['11', '16', '73', '85', '107', '114', '166', '199', '212', '217']
['8', '25', '34', '105', '110', '126', '136', '146', '153', '178']
['37', '43', '89', '109', '122', '165', '170', '211', '241', '242']
['3', '42', '54', '80', '90', '128', '130', '151', '164', '229']
['5', '21', '40', '112', '115', '175', '182', '189', '192', '195']
['27', '45', '93', '162', '210', '226', '236', '246', '247', '248']
['12', '47', '75', '104', '108', '118', '133', '169', '194', '204']
['6', '26', '31', '32', '98', '100', '111', '124', '141', '221']
['1', '17', '68', '120', '149', '160', '172', '176', '193', '205']
['9', '82', '94', '143', '155', '184', '213', '223', '231', '238']
['29', '51', '55', '56', '64', '71', '188', '216', '218', '228']
['14', '38', '87', '91', '180', '224', '227', '237', '243', '244']
['84', '92', '127', '131', '142', '150', '154', '181', '196', '220']
['7', '19', '23', '50', '99', '113', '144', '197', '209', '215']
['30', '63', '88', '119', '129', '163', '173', '187', '198', '225']
