['0', '4', '10', '13', '58', '70', '79', '83', '97', '121']
['18', '67', '81', '125', '167', '177', '206', '221', '222', '232']
['46', '64', '116', '134', '157', '208', '233', '240', '241', '245']
['2', '28', '35', '39', '59', '66', '74', '77', '96', '105']
['15', '20', '95', '102', '123', '138', '186', '190', '202', '207']
['36', '60', '65', '69', '76', '86', '101', '139', '168', '183']
['33', '41', '57', '61', '72', '137', '174', '201', '214', '230']
['44', '48', '52', '103', '106', '117', '132', '147', '152', '158']
['22', '53', '78', '135', '145', '161', '179', '191', '228', '235']
['24', '49', '62', '148', '156', '159', '171', '225', '234', '238']
['11', '16', '73', '85', '107', '114', '166', '199', '212', '217']
['8', '25', '34', '126', '136', '146', '153', '178', '195', '203']
['37', '43', '89', '109', '122', '165', '170', '211', '219', '242']
['3', '42', '54', '68', '80', '90', '91', '128', '130', '151']
['5', '21', '40', '112', '115', '175', '182', '189', '192', '200']
['27', '45', '93', '162', '173', '210', '226', '239', '246', '249']
['12', '47', '75', '104', '108', '118', '133', '169', '194', '204']
['6', '26', '31', '32', '98', '100', '111', '124', '141', '164']
['1', '17', '120', '149', '160', '172', '176', '193', '205', '220']
['9', '82', '94', '140', '143', '155', '184', '213', '223', '231']
['29', '51', '55', '56', '71', '110', '185', '188', '216', '218']
['14', '38', '87', '180', '224', '227', '229', '237', '244', '248']
['84', '92', '127', '131', '142', '150', '154', '181', '196', '247']
['7', '19', '23', '50', '99', '113', '144', '197', '209', '215']
['30', '63', '88', '119', '129', '163', '187', '198', '236', '243']
