['40', '61', '65', '141', '195', '224', '234']
['41', '63', '227', '242', '277', '314', '340']
['79', '177', '186', '251', '287', '295', '335']
['18', '20', '53', '216', '263', '309', '310']
['8', '48', '62', '104', '120', '203', '230']
['33', '51', '92', '133', '134', '213', '218']
['21', '29', '31', '124', '164', '260', '265']
['52', '132', '222', '225', '280', '302', '323']
['73', '149', '180', '197', '209', '304', '322']
['80', '86', '168', '202', '306', '326', '328']
['6', '37', '43', '100', '136', '144', '147']
['102', '113', '185', '229', '247', '319', '342']
['19', '45', '83', '110', '123', '131', '155']
['46', '76', '118', '248', '275', '278', '285']
['3', '137', '161', '192', '337', '338', '344']
['14', '47', '87', '129', '210', '245', '341']
['67', '117', '158', '163', '240', '318', '329']
['16', '71', '109', '111', '126', '262', '266']
['9', '159', '182', '253', '288', '294', '298']
['72', '78', '107', '116', '206', '207', '268']
['26', '28', '36', '151', '237', '257', '308']
['44', '114', '119', '142', '170', '181', '193']
['212', '259', '307', '316', '320', '336', '345']
['4', '12', '50', '57', '99', '105', '128']
['82', '94', '139', '153', '187', '324', '332']
['15', '214', '303', '315', '317', '327', '334']
['27', '286', '346', '347', '348', '349', '350']
['74', '127', '130', '162', '194', '279', '283']
['77', '125', '160', '166', '243', '255', '305']
['34', '49', '183', '200', '241', '269', '274']
['35', '176', '189', '217', '236', '270', '321']
['75', '108', '135', '145', '156', '249', '290']
['56', '84', '115', '226', '235', '244', '267']
['103', '138', '205', '228', '250', '258', '281']
['24', '121', '143', '165', '167', '190', '215']
['208', '233', '284', '289', '297', '331', '333']
['85', '89', '174', '232', '256', '271', '293']
['2', '38', '68', '106', '252', '254', '273']
['11', '25', '93', '112', '219', '231', '261']
['7', '23', '42', '140', '169', '179', '196']
['5', '54', '55', '70', '173', '221', '239']
['69', '148', '157', '172', '204', '325', '330']
['22', '59', '96', '184', '238', '311', '312']
['1', '10', '175', '178', '199', '223', '276']
['32', '188', '198', '264', '272', '282', '292']
['66', '81', '97', '291', '300', '301', '313']
['17', '39', '58', '64', '88', '191', '201']
['91', '95', '146', '211', '299', '339', '343']
['150', '152', '154', '171', '220', '246', '296']
['13', '30', '60', '90', '98', '101', '122']
