['457', '144', '336', '131', '460', '150', '361', '263', '189', '107', '19', '421', '331', '132', '458', '22']
['409', '356', '275', '464', '122', '410', '165', '125', '415', '187', '284', '327', '350', '283', '20', '343']
['341', '294', '49', '309', '354', '480', '235', '479', '444', '231', '188', '340', '129', '31', '223', '484']
['308', '363', '141', '205', '475', '482', '380', '351', '465', '268', '377', '388', '474', '221', '478', '207']
['349', '119', '121', '357', '455', '13', '60', '335', '454', '91', '140', '325', '438', '443', '289', '367']
['224', '154', '338', '105', '63', '490', '236', '40', '439', '317', '417', '133', '98', '226', '433', '491']
['66', '448', '153', '203', '182', '240', '174', '450', '219', '71', '123', '402', '190', '185', '178', '87']
['243', '10', '72', '53', '428', '69', '495', '57', '210', '89', '419', '163', '158', '96', '138', '110']
['124', '485', '213', '459', '449', '101', '246', '483', '385', '65', '411', '228', '192', '305', '164', '286']
['300', '384', '196', '406', '488', '47', '152', '28', '370', '404', '373', '420', '15', '146', '472', '344']
['115', '476', '106', '209', '245', '88', '401', '397', '277', '77', '432', '70', '342', '17', '25', '244']
['262', '339', '128', '297', '256', '307', '145', '486', '337', '445', '149', '302', '271', '375', '382', '160']
['252', '120', '266', '391', '179', '3', '42', '127', '94', '310', '201', '30', '403', '114', '398', '74']
['75', '426', '471', '54', '26', '36', '330', '247', '46', '295', '352', '366', '39', '287', '21', '394']
['436', '306', '422', '216', '217', '372', '167', '418', '208', '151', '38', '83', '186', '396', '81', '183']
['225', '395', '365', '194', '242', '90', '316', '11', '298', '173', '67', '319', '211', '381', '429', '279']
['227', '193', '447', '313', '434', '267', '346', '257', '431', '280', '161', '33', '477', '304', '142', '487']
['118', '322', '95', '362', '241', '126', '82', '358', '387', '103', '250', '181', '44', '32', '50', '239']
['4', '251', '166', '68', '270', '215', '312', '360', '12', '407', '255', '99', '389', '248', '238', '282']
['78', '493', '148', '315', '112', '468', '492', '97', '200', '85', '64', '156', '159', '254', '41', '353']
['446', '93', '27', '390', '233', '14', '496', '23', '470', '172', '111', '278', '175', '117', '258', '320']
['274', '379', '371', '435', '45', '378', '329', '24', '299', '80', '359', '113', '162', '413', '79', '323']
['212', '143', '347', '157', '355', '8', '453', '328', '321', '100', '334', '276', '73', '249', '265', '416']
['481', '412', '383', '58', '18', '168', '234', '52', '222', '290', '84', '214', '292', '34', '102', '425']
['376', '197', '171', '62', '437', '345', '466', '59', '5', '202', '139', '430', '16', '135', '108', '198']
['48', '37', '218', '116', '195', '469', '104', '288', '281', '314', '451', '440', '392', '43', '137', '399']
['2', '170', '494', '405', '348', '220', '456', '463', '423', '462', '109', '76', '318', '177', '269', '291']
['56', '9', '136', '92', '400', '51', '259', '364', '285', '374', '134', '441', '326', '184', '206', '368']
['130', '199', '35', '333', '86', '261', '427', '204', '230', '386', '29', '237', '61', '489', '311', '169']
['253', '232', '7', '293', '408', '272', '467', '296', '369', '324', '303', '55', '393', '155', '452', '1']
['414', '473', '461', '424', '180', '260', '6', '176', '264', '191', '301', '147', '229', '273', '332', '442']
