['325', '231', '144', '226', '425', '449', '494', '188', '440', '97']
['29', '22', '311', '342', '339', '490', '286', '404', '305', '26']
['417', '61', '175', '376', '211', '203', '75', '421', '218', '51']
['94', '109', '431', '111', '232', '385', '413', '435', '495', '275']
['74', '190', '331', '57', '233', '470', '72', '55', '351', '388']
['90', '312', '99', '428', '282', '62', '54', '116', '406', '261']
['28', '486', '53', '442', '21', '402', '154', '224', '481', '432']
['410', '287', '247', '243', '77', '85', '252', '23', '340', '390']
['113', '308', '221', '474', '52', '60', '326', '140', '4', '412']
['73', '349', '384', '460', '366', '49', '411', '281', '209', '458']
['63', '266', '42', '239', '11', '482', '219', '447', '330', '181']
['436', '83', '6', '130', '259', '227', '303', '267', '260', '299']
['215', '468', '419', '496', '314', '469', '395', '397', '141', '257']
['172', '350', '492', '374', '471', '256', '424', '171', '367', '41']
['380', '478', '375', '147', '452', '358', '125', '293', '373', '230']
['205', '352', '84', '34', '441', '174', '123', '250', '88', '450']
['273', '245', '487', '32', '214', '381', '489', '38', '398', '235']
['148', '335', '346', '268', '156', '347', '225', '39', '348', '96']
['262', '399', '433', '40', '150', '82', '104', '466', '106', '114']
['473', '292', '270', '197', '153', '328', '426', '108', '33', '393']
['372', '263', '329', '457', '210', '479', '115', '237', '297', '202']
['459', '389', '46', '163', '472', '272', '461', '68', '177', '415']
['27', '191', '142', '64', '206', '100', '185', '280', '196', '192']
['313', '354', '476', '416', '371', '368', '264', '236', '67', '475']
['400', '204', '200', '162', '7', '244', '92', '246', '207', '279']
['158', '463', '187', '161', '19', '418', '8', '91', '70', '353']
['13', '173', '443', '155', '0', '316', '401', '444', '323', '290']
['176', '217', '414', '132', '127', '298', '300', '355', '193', '50']
['183', '327', '386', '135', '356', '228', '438', '274', '407', '118']
['78', '278', '498', '464', '131', '18', '437', '240', '164', '170']
['291', '2', '337', '294', '423', '15', '16', '122', '454', '98']
['430', '105', '66', '446', '45', '165', '129', '455', '180', '89']
['254', '222', '409', '269', '126', '189', '456', '480', '361', '408']
['43', '322', '255', '334', '445', '333', '396', '35', '338', '485']
['370', '79', '151', '186', '289', '283', '133', '277', '30', '166']
['394', '318', '359', '271', '93', '295', '258', '169', '44', '332']
['391', '10', '65', '284', '37', '86', '103', '363', '382', '422']
['242', '420', '319', '497', '288', '364', '429', '101', '160', '194']
['36', '306', '465', '139', '145', '317', '321', '9', '195', '296']
['248', '24', '81', '112', '383', '56', '229', '152', '168', '434']
['309', '392', '378', '493', '59', '360', '149', '341', '499', '157']
['182', '95', '47', '117', '107', '387', '238', '137', '120', '477']
['178', '17', '14', '467', '253', '146', '134', '379', '265', '48']
['234', '276', '198', '71', '462', '427', '136', '301', '119', '212']
['213', '31', '80', '208', '315', '69', '20', '251', '179', '453']
['365', '3', '285', '159', '310', '128', '483', '201', '357', '304']
['362', '241', '216', '87', '124', '345', '484', '76', '344', '138']
['403', '324', '25', '5', '336', '302', '249', '451', '405', '12']
['223', '343', '307', '110', '58', '488', '448', '439', '143', '167']
['491', '102', '184', '320', '199', '377', '220', '121', '369', '1']
