['49', '87', '108', '156', '157', '165', '186', '218', '279', '302']
['7', '22', '23', '26', '37', '71', '222', '227', '231', '256']
['60', '75', '243', '253', '254', '273', '323', '352', '376', '379']
['24', '97', '98', '101', '230', '269', '281', '329', '335', '381']
['2', '9', '18', '59', '92', '122', '123', '129', '149', '152']
['93', '114', '120', '141', '237', '242', '270', '291', '320', '332']
['47', '70', '117', '125', '154', '183', '204', '248', '321', '322']
['20', '21', '64', '100', '113', '151', '164', '178', '220', '307']
['33', '88', '153', '177', '200', '224', '232', '318', '351', '361']
['17', '81', '99', '185', '202', '206', '207', '209', '214', '250']
['42', '80', '107', '124', '169', '179', '236', '263', '306', '337']
['1', '167', '180', '198', '261', '276', '285', '303', '364', '374']
['13', '58', '77', '223', '225', '266', '275', '296', '297', '310']
['94', '143', '193', '213', '233', '288', '298', '309', '373', '393']
['10', '109', '162', '234', '239', '255', '258', '260', '293', '295']
['5', '51', '56', '57', '116', '160', '221', '313', '372', '375']
['28', '55', '121', '163', '217', '229', '245', '331', '348', '369']
['16', '19', '35', '126', '150', '201', '312', '359', '389', '394']
['0', '197', '215', '347', '349', '358', '366', '378', '397', '399']
['48', '89', '127', '144', '241', '283', '308', '311', '334', '343']
['34', '44', '52', '78', '195', '252', '360', '382', '388', '392']
['31', '46', '54', '133', '135', '166', '212', '246', '325', '328']
['68', '79', '90', '110', '161', '228', '264', '342', '355', '356']
['4', '14', '40', '130', '159', '187', '203', '277', '286', '338']
['15', '39', '74', '95', '103', '118', '140', '155', '170', '341']
['41', '45', '63', '65', '112', '172', '175', '268', '271', '282']
['36', '38', '106', '128', '145', '147', '176', '196', '205', '238']
['3', '8', '43', '86', '138', '181', '247', '305', '353', '365']
['50', '131', '171', '199', '210', '257', '317', '340', '345', '371']
['11', '12', '53', '111', '119', '168', '192', '216', '240', '249']
['25', '62', '182', '219', '226', '262', '278', '294', '336', '363']
['61', '102', '134', '173', '184', '194', '267', '287', '324', '362']
['6', '27', '32', '69', '72', '104', '132', '142', '280', '304']
['76', '284', '315', '346', '367', '368', '370', '384', '386', '390']
['29', '30', '82', '136', '235', '272', '290', '299', '300', '301']
['66', '73', '85', '91', '105', '137', '189', '191', '259', '354']
['190', '208', '289', '319', '385', '387', '391', '395', '396', '398']
['83', '84', '96', '115', '251', '292', '314', '316', '330', '344']
['139', '146', '158', '188', '211', '265', '274', '326', '327', '339']
['67', '148', '174', '244', '333', '350', '357', '377', '380', '383']
