['50', '88', '109', '157', '158', '166', '187', '219', '280', '291']
['8', '23', '24', '27', '38', '72', '223', '228', '232', '371']
['61', '76', '244', '254', '255', '274', '324', '353', '370', '380']
['25', '98', '99', '102', '131', '270', '282', '303', '330', '336']
['10', '19', '60', '93', '123', '124', '130', '150', '153', '391']
['94', '115', '121', '142', '238', '243', '292', '333', '345', '364']
['48', '71', '118', '126', '155', '184', '205', '249', '322', '323']
['21', '22', '65', '114', '152', '165', '179', '308', '328', '350']
['34', '89', '154', '178', '201', '225', '233', '352', '365', '375']
['18', '82', '100', '186', '203', '207', '208', '210', '211', '215']
['43', '81', '108', '125', '170', '180', '237', '264', '307', '338']
['2', '168', '181', '199', '262', '277', '286', '304', '377', '387']
['14', '59', '78', '101', '224', '226', '267', '276', '297', '298']
['95', '144', '194', '214', '234', '289', '299', '310', '321', '374']
['11', '110', '163', '235', '240', '256', '259', '294', '296', '319']
['6', '52', '57', '58', '117', '161', '222', '314', '376', '397']
['29', '56', '122', '164', '218', '230', '246', '271', '332', '355']
['17', '20', '36', '127', '151', '202', '329', '360', '390', '395']
['3', '198', '216', '348', '359', '361', '367', '379', '382', '398']
['49', '90', '128', '145', '171', '242', '284', '312', '335', '344']
['35', '45', '53', '79', '196', '253', '301', '383', '389', '393']
['32', '47', '55', '134', '136', '167', '213', '247', '251', '326']
['69', '80', '91', '162', '229', '265', '343', '356', '357', '373']
['5', '15', '41', '160', '188', '204', '278', '287', '339', '349']
['16', '40', '75', '96', '104', '119', '141', '156', '342', '362']
['42', '46', '64', '66', '111', '113', '173', '176', '269', '272']
['1', '37', '39', '107', '129', '146', '148', '177', '206', '239']
['4', '9', '44', '87', '139', '182', '248', '306', '341', '354']
['51', '132', '172', '200', '257', '258', '318', '346', '372', '399']
['12', '13', '54', '112', '120', '169', '193', '217', '241', '250']
['26', '63', '183', '220', '227', '263', '279', '295', '337', '351']
['62', '103', '135', '174', '185', '195', '268', '288', '311', '325']
['7', '28', '33', '70', '73', '105', '133', '143', '261', '305']
['77', '285', '316', '331', '340', '347', '366', '368', '369', '385']
['30', '31', '83', '137', '236', '273', '300', '302', '313', '363']
['67', '74', '86', '92', '106', '138', '190', '192', '231', '260']
['197', '209', '290', '309', '320', '381', '386', '388', '392']
['84', '85', '97', '116', '191', '252', '293', '315', '317', '396']
['140', '147', '159', '189', '212', '221', '266', '275', '283', '327']
['68', '149', '175', '245', '281', '334', '358', '378', '384', '394']
